iter	RMSE
259	72.15252568
260	71.79438542
261	71.10908149
262	70.69487714
263	70.36146815
264	70.04174696
265	69.702642
266	69.50400355
267	69.14269514
268	68.79428281
269	68.45194859
270	68.25012412
271	67.7950677
272	67.62533792
273	67.02996524
274	66.82697486
275	66.64737375
276	66.58960528
277	66.34752173
278	66.29492479
279	65.85050026
280	65.70543253
281	65.65631142
282	65.11520507
283	65.00164836
284	64.85921349
285	64.26160479
286	64.20917132
287	63.82301947
288	63.3548107
289	63.06554638
290	62.94307864
291	62.76307731
292	62.70628656
293	62.25445595
294	61.74092432
295	61.2323802
296	60.84446008
297	60.67997295
298	60.27435465
299	60.11925688
300	59.81151934
301	59.77381854
302	59.72754003
303	59.41856047
304	59.3739449
305	59.10370103
306	59.06234005
307	58.83345155
308	58.70080752
309	58.42416973
310	58.39090579
311	58.3560202
312	58.2244185
313	58.198998
314	57.74807066
315	57.60458855
316	57.36619131
317	57.05096483
318	57.01924385
319	56.99395231
320	56.84052283
321	56.74202797
322	56.44770101
323	56.08268533
324	56.06243228
325	55.85981338
326	55.60778847
327	55.51413849
328	55.15787476
329	54.86875857
330	54.61499025
331	54.33731373
332	54.30107225
333	54.00349684
334	53.48383239
335	53.2427876
336	52.98416438
337	52.78839
338	52.40444397
339	52.10022551
340	52.05653855
341	51.83331445
342	51.63735742
343	51.52155601
344	51.47150684
345	51.37086934
346	51.34874902
347	51.12932052
348	50.79683071
349	50.4247981
350	50.11846625
351	50.01582328
352	49.81673547
353	49.72315038
354	49.57358961
355	49.33708219
356	49.1271597
357	48.66716014
358	48.58209217
359	48.29680353
360	48.27251788
361	48.24918574
362	47.9937707
363	47.75469134
364	47.63511594
365	47.45732187
366	47.24618837
367	47.08313364
368	47.06160455
369	46.81678051
370	46.71057493
371	46.52387757
372	46.2028434
373	45.98395264
374	45.91167245
375	45.73205159
376	45.43742626
377	45.40575462
378	45.13271647
379	45.0209604
380	44.8196593
381	44.50393838
382	44.26003235
383	44.01515612
384	43.95565698
385	43.93595974
386	43.75550803
387	43.73730188
388	43.52936404
389	43.37303654
390	43.19096557
391	42.88568298
392	42.69924105
393	42.54657485
394	42.48079794
395	42.29161835
396	42.10375684
397	41.89819325
398	41.72489168
399	41.63010695
400	41.44007639
401	41.3090865
402	41.13014422
403	41.04434824
404	40.82596435
405	40.78392629
406	40.54803372
407	40.37158932
408	40.03940454
409	40.008663
410	39.81044762
411	39.78438486
412	39.53003724
413	39.44301303
414	39.36296307
415	39.12938397
416	38.96916841
417	38.81903844
418	38.70778336
419	38.47792542
420	38.26786829
421	38.09943887
422	38.00059163
423	37.83851797
424	37.80834519
425	37.51743361
426	37.32088344
427	37.11855557
428	36.9282531
429	36.8200949
430	36.58459448
431	36.45293058
432	36.37206005
433	36.21431199
434	36.16313117
435	36.02601714
436	35.95879034
437	35.74675296
438	35.66361616
439	35.39978244
440	35.35537895
441	35.26993138
442	35.13068456
443	34.9610274
444	34.78562324
445	34.76149225
446	34.65437426
447	34.59593772
448	34.56913166
449	34.46293737
450	34.3200339
451	34.15404962
452	34.09853906
453	33.99187609
454	33.86578467
455	33.84381586
456	33.7117534
457	33.67710546
458	33.63409086
459	33.44710507
460	33.34431
461	33.30063516
462	33.16309949
463	33.09966947
464	32.99522675
465	32.8806709
466	32.84020296
467	32.75155536
468	32.57057832
469	32.45091555
470	32.36533754
471	32.33547076
472	32.24526248
473	32.2128326
474	32.10395786
475	31.95497387
476	31.78311133
477	31.69231574
478	31.54839054
479	31.51755371
480	31.49819422
481	31.43995826
482	31.31213873
483	31.2522235
484	31.2267889
485	31.14120812
486	30.85180192
487	30.77462213
488	30.66714357
489	30.65384369
490	30.47737584
491	30.33513905
492	30.06722278
493	30.03599662
494	29.85045062
495	29.64615088
496	29.44477815
497	29.3848746
498	29.24326945
499	29.12842945
